ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,OPEN_DATE,CURRENT_BALANCE,CURRENCY,NUM_SIGNATORIES
ACCT100000001,CUST0001929,SAVINGS,ACTIVE,2012-10-13,22383.8,INR,1
ACCT100000002,CUST0002554,CURRENT,ACTIVE,2020-07-18,9883.93,AED,2
ACCT100000003,CUST0004608,SALARY,ACTIVE,2019-01-17,23064.98,USD,1
ACCT100000004,CUST0005464,SAVINGS,DORMANT,2014-11-07,3784.53,INR,1
ACCT100000005,CUST0003521,SALARY,ACTIVE,2013-02-26,27571.07,AED,1
ACCT100000006,CUST0006225,CURRENT,ACTIVE,2020-11-05,165425.9,INR,1
ACCT100000007,CUST0003944,SAVINGS,ACTIVE,2012-05-11,62862.37,INR,1
ACCT100000008,CUST0002414,SAVINGS,ACTIVE,2020-11-24,7813.47,AED,1
ACCT100000009,CUST0006352,SAVINGS,DORMANT,2012-07-02,155517.85,INR,2
ACCT100000010,CUST0000969,SALARY,ACTIVE,2018-03-26,12337.84,USD,2
ACCT100000011,CUST0002969,SAVINGS,ACTIVE,2016-12-06,15251.44,SGD,1
ACCT100000012,CUST0007440,NRE,ACTIVE,2017-10-21,371250.09,INR,1
ACCT100000013,CUST0003120,NRO,ACTIVE,2020-08-21,8397.66,SGD,1
ACCT100000014,CUST0003984,SAVINGS,ACTIVE,2014-05-01,11537.39,INR,1
ACCT100000015,CUST0001819,SAVINGS,ACTIVE,2016-08-19,28004.85,INR,1
ACCT100000016,CUST0000774,SAVINGS,ACTIVE,2016-11-11,6768.65,USD,1
ACCT100000017,CUST0007783,CURRENT,ACTIVE,2019-04-03,45973.07,INR,1
ACCT100000018,CUST0005253,TRUST,ACTIVE,2019-10-12,3992537.39,SGD,1
ACCT100000019,CUST0002852,SAVINGS,ACTIVE,2015-09-28,4887.99,INR,1
ACCT100000020,CUST0005550,SAVINGS,ACTIVE,2019-06-01,54025.67,GBP,1
ACCT100000021,CUST0001496,SALARY,BLOCKED,2021-07-02,4448.35,USD,2
ACCT100000022,CUST0001011,NRO,BLOCKED,2019-10-27,110032.59,USD,1
ACCT100000023,CUST0006763,NRO,ACTIVE,2015-06-25,217268.87,INR,1
ACCT100000024,CUST0001319,CURRENT,ACTIVE,2016-01-08,167760.1,GBP,1
ACCT100000025,CUST0000806,NRE,ACTIVE,2017-10-02,284461.74,INR,3
ACCT100000026,CUST0004394,salary,ACTIVE,2020-12-27,34713.75,INR,2
ACCT100000027,CUST0005848,SALARY,ACTIVE,2017-04-30,8713.44,INR,1
ACCT100000028,CUST0006134,SALARY,BLOCKED,2019-02-25,5955.18,INR,1
