ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,OPEN_DATE,CURRENT_BALANCE
ACCT100000001,CUST0011666,SALARY,ACTIVE,2015-07-23,28022.74
ACCT100000002,CUST0020480,NRE,ACTIVE,2021-06-24,24332.31
ACCT100000003,CUST0025063,salary,ACTIVE,2022-06-13,27623.29
ACCT100000004,CUST0061672,SALARY,DORMANT,2019-08-24,14334.75
ACCT100000005,CUST0035980,NRE,ACTIVE,2019-12-25,22026.95
ACCT100000006,CUST0020983,current,ACTIVE,2020-03-23,108607.34
ACCT100000007,CUST0005217,NRE,ACTIVE,2021-03-01,8339.32
ACCT100000008,CUST0051952,SAVINGS,ACTIVE,2021-07-31,748575.62
ACCT100000009,CUST0005959,SALARY,ACTIVE,2015-02-21,188081.83
ACCT100000010,CUST0059307,NRE,ACTIVE,2016-08-12,41140.0
ACCT100000011,CUST0005953,SAVINGS,,2021-10-02,31547.43
ACCT100000012,CUST0046521,NRO,ACTIVE,2016-02-09,10041.56
ACCT100000013,CUST0015294,NRE,ACTIVE,2017-12-30,38273.05
ACCT100000014,CUST0039491,SAVINGS,ACTIVE,2022-05-16,139982.31
ACCT100000015,CUST0021243,SALARY,ACTIVE,2022-05-24,22613.12
ACCT100000016,CUST0013003,CURRENT,ACTIVE,2021-09-05,42812.59
ACCT100000017,CUST0027096,SALARY,DORMANT,2020-04-11,5987.67
ACCT100000018,CUST0018232,SALARY,DORMANT,2020-02-14,39280.45
ACCT100000019,CUST0053174,SAVINGS,ACTIVE,2017-01-23,21527.97
ACCT100000020,CUST0042784,NRE,ACTIVE,2015-12-24,1271.85
ACCT100000021,CUST0000794,CURRENT,ACTIVE,2022-06-07,6039.32
ACCT100000022,CUST0034945,NRO,BLOCKED,2016-06-08,4700.66
ACCT100000023,CUST0040829,Nro,ACTIVE,2020-07-01,114915.46
ACCT100000024,CUST0006750,NRO,ACTIVE,2015-06-11,204.3
ACCT100000025,CUST0040297,NRO,ACTIVE,2014-11-12,18943.04
ACCT100000026,CUST0053138,NRE,DORMANT,2016-08-13,16237.05
ACCT100000027,CUST0015253,SALARY,ACTIVE,2018-01-09,22559.33
ACCT100000028,CUST0022748,SAVINGS,ACTIVE,2020-04-04,45989.8
ACCT100000029,CUST0058396,salary,ACTIVE,2017-09-10,57140.17
ACCT100000030,CUST0061589,savings,DORMANT,2016-02-14,32186.18
ACCT100000031,CUST0067957,SALARY,ACTIVE,2019-08-11,5463.1
ACCT100000032,CUST0004777,NRE,ACTIVE,2022-08-28,6250.89
ACCT100000033,CUST0055631,NRE,ACTIVE,2020-12-09,575588.32
ACCT100000034,CUST0036278,SALARY,ACTIVE,2014-11-25,37916.05
ACCT100000035,CUST0002734,NRO,ACTIVE,2017-12-27,21322.96
ACCT100000036,CUST0067291,Nre,ACTIVE,2018-11-30,424229.42
ACCT100000037,CUST0001029,NRO,ACTIVE,2019-08-12,31988.52
ACCT100000038,CUST0020088,NRE,ACTIVE,2020-12-26,519164.62
ACCT100000039,CUST0074611,CURRENT,ACTIVE,2020-04-25,2861.64
ACCT100000040,CUST0043092,CURRENT,ACTIVE,2018-12-15,26641.87
ACCT100000041,CUST0012194, NRE ,ACTIVE,2021-08-01,14385.84
ACCT100000042,CUST0064625,SAVINGS,ACTIVE,2021-09-09,356098.04
ACCT100000043,CUST0065513,SAVINGS,ACTIVE,2018-06-20,32943.84
ACCT100000044,CUST0050085,SAVINGS,ACTIVE,2021-08-23,7738.84
ACCT100000045,CUST0019130, NRO ,ACTIVE,2018-09-14,15004.73
ACCT100000046,CUST0053707,NRO,ACTIVE,2018-11-15,36764.45
ACCT100000047,CUST0064668,NRO,ACTIVE,2015-12-17,141556.1
ACCT100000048,CUST0017849, CURRENT ,,2019-10-06,8473.66
ACCT100000049,CUST0064190,NRO,CLOSED,2022-03-30,13967.45
ACCT100000050,CUST0014777, NRO ,BLOCKED,2017-07-30,9488.03
ACCT100000051,CUST0071552,SAVINGS,ACTIVE,2016-09-18,65966.56
ACCT100000052,CUST0026553,CURRENT,ACTIVE,2021-04-30,146062.23
ACCT100000053,CUST0054382,NRE,ACTIVE,2018-06-26,820.47
ACCT100000054,CUST0074223,NRE,ACTIVE,2021-11-05,37532.65
ACCT100000055,CUST0038412,CURRENT,ACTIVE,2016-07-15,5767.43
ACCT100000056,CUST0030080,NRO,ACTIVE,2019-06-11,842.2
ACCT100000057,CUST0065299,SALARY,ACTIVE,2015-09-06,2129.2
ACCT100000058,CUST0016424,CURRENT,ACTIVE,2015-10-17,12562.57
ACCT100000059,CUST0022180, SALARY ,DORMANT,2018-09-03,24943.21
ACCT100000060,CUST0011310,CURRENT,ACTIVE,2016-04-03,37603.98
ACCT100000061,CUST0053611,SALARY,ACTIVE,2020-07-28,15554.67
ACCT100000062,CUST0005446,NRO,CLOSED,2014-10-30,7987.36
ACCT100000063,CUST0049376,SAVINGS,ACTIVE,2021-12-13,21217.54
ACCT100000064,CUST0055051,CURRENT,ACTIVE,2022-03-20,2368.58
ACCT100000065,CUST0009086,CURRENT,ACTIVE,2015-04-25,53281.77
ACCT100000066,CUST0056170,SALARY,ACTIVE,2020-03-04,50670.42
ACCT100000067,CUST0005716,NRE,ACTIVE,2019-06-26,36858.58
ACCT100000068,CUST0072572,NRO,ACTIVE,2021-11-01,7479.04
ACCT100000069,CUST0059194,NRO,ACTIVE,2020-02-13,16249.59
ACCT100000070,CUST0029463,NRE,ACTIVE,2021-08-06,98113.65
ACCT100000071,CUST0048568, NRO ,DORMANT,2018-06-20,69718.08
ACCT100000072,CUST0046070,SAVINGS,ACTIVE,2019-08-12,33796.62
ACCT100000073,CUST0014117,CURRENT,ACTIVE,2017-08-23,292982.46
ACCT100000074,CUST0028579,CURRENT,DORMANT,2015-08-08,52786.52
ACCT100000075,CUST0009618,NRO,ACTIVE,2018-08-21,2332.52
ACCT100000076,CUST0028492,NRO,ACTIVE,2020-11-26,46852.49
ACCT100000077,CUST0036072,CURRENT,ACTIVE,2018-07-30,1997.47
ACCT100000078,CUST0067313,NRO,ACTIVE,2018-09-29,45412.53
ACCT100000079,CUST0062544,SAVINGS,ACTIVE,2020-05-18,178254.33
ACCT100000080,CUST0049809,CURRENT,ACTIVE,2015-03-19,25672.12
ACCT100000081,CUST0010521,NRE,ACTIVE,2019-09-26,319094.66
ACCT100000082,CUST0007119,SAVINGS,ACTIVE,2014-11-10,20153.01
ACCT100000083,CUST0053136,NRO,ACTIVE,2015-01-24,29220.22
ACCT100000084,CUST0023958,Nre,ACTIVE,2015-06-18,69192.11
ACCT100000085,CUST0024933,SALARY,DORMANT,2021-12-05,7809.7
ACCT100000086,CUST0016137,NRO,ACTIVE,2015-11-24,47779.24
ACCT100000087,CUST0037568,NRE,DORMANT,2015-08-11,9550.24
ACCT100000088,CUST0040010,SAVINGS,ACTIVE,2020-10-23,3086.82
ACCT100000089,CUST0055386,CURRENT,ACTIVE,2016-09-27,10150.73
ACCT100000090,CUST0016662,NRE,ACTIVE,2019-12-26,82063.9
ACCT100000091,CUST0071077,Nre,ACTIVE,2020-11-23,7761.51
ACCT100000092,CUST0000792,SALARY,ACTIVE,2017-07-18,11319.87
ACCT100000093,CUST0044214,NRO,ACTIVE,2018-06-22,44501.12
ACCT100000094,CUST0024733,nre,ACTIVE,2019-09-14,1920938.88
ACCT100000095,CUST0047671,SAVINGS,ACTIVE,2015-07-21,25252.47
ACCT100000096,CUST0050517,NRE,ACTIVE,2015-01-05,22762.86
ACCT100000097,CUST0006024,SALARY,ACTIVE,2016-06-25,17285.37
ACCT100000098,CUST0032875,SALARY,ACTIVE,2020-04-07,11430.62
ACCT100000099,CUST0007390,SALARY,ACTIVE,2015-01-19,33221.69
ACCT100000100,CUST0044946,SAVINGS,ACTIVE,2019-02-03,4212.66
ACCT100000101,CUST0033475,SAVINGS,ACTIVE,2022-02-06,2837.14
ACCT100000102,CUST0000826,CURRENT,DORMANT,2020-02-28,17360.21
ACCT100000103,CUST0067698,NRO,ACTIVE,2022-05-15,1456.02
ACCT100000104,CUST0048539,CURRENT,ACTIVE,2019-03-11,8980.45
ACCT100000105,CUST0000422,SAVINGS,ACTIVE,2018-03-25,7095.93
ACCT100000106,CUST0060977,SALARY,DORMANT,2019-09-23,14415.04
ACCT100000107,CUST0012512,NRE,ACTIVE,2021-12-26,72886.19
ACCT100000108,CUST0019437,NRE,ACTIVE,2020-05-12,13833.88
ACCT100000109,CUST0010726,SAVINGS,DORMANT,2016-05-14,26658.54
ACCT100000110,CUST0056042,NRE,ACTIVE,2019-03-15,8606.38
ACCT100000111,CUST0042936,SALARY,ACTIVE,2020-05-06,11691.9
ACCT100000112,CUST0013280,NRE,ACTIVE,2015-05-19,143462.96
ACCT100000113,CUST0057030,NRO,ACTIVE,2017-02-17,15892.56
ACCT100000114,CUST0065617,NRE,ACTIVE,2018-04-17,60144.3
ACCT100000115,CUST0032377,NRO,ACTIVE,2015-07-09,23891.2
ACCT100000116,CUST0040329,NRO,BLOCKED,2017-08-01,267817.61
ACCT100000117,CUST0028041,NRO,ACTIVE,2021-02-15,3412.01
ACCT100000118,CUST0032669,NRE,DORMANT,2019-10-05,7476.33
ACCT100000119,CUST0068358,NRE,ACTIVE,2021-03-01,83401.88
ACCT100000120,CUST0070210,SAVINGS,ACTIVE,2019-12-18,2349.57
ACCT100000121,CUST0040875,CURRENT,ACTIVE,2016-06-07,2851.69
ACCT100000122,CUST0037290,Savings,DORMANT,2016-09-07,4885.27
ACCT100000123,CUST0043622,SAVINGS,ACTIVE,2019-10-13,118499.62
ACCT100000124,CUST0051848,NRE,ACTIVE,2016-03-04,1245.99
ACCT100000125,CUST0032807,SALARY,ACTIVE,2017-12-04,18018.46
ACCT100000126,CUST0016430,SALARY,ACTIVE,2016-03-08,33132.92
ACCT100000127,CUST0000412,NRE,ACTIVE,2018-04-02,26951.29
ACCT100000128,CUST0011617,SAVINGS,ACTIVE,2018-09-02,22686.88
ACCT100000129,CUST0032350,NRE,ACTIVE,2020-04-08,118147.61
ACCT100000130,CUST0044552,NRO,ACTIVE,2021-03-06,41777.36
ACCT100000131,CUST0014168,SAVINGS,ACTIVE,2017-01-05,25150.75
ACCT100000132,CUST0036938,SAVINGS,BLOCKED,2017-03-12,40622.24
ACCT100000133,CUST0014191, CURRENT ,BLOCKED,2021-09-16,55140.23
