account_id,customer_id,account_type,account_currency,account_open_date,account_status,account_balance_current,avg_balance_30d,avg_balance_90d,account_age_days,account_freeze_flag,account_freeze_reason_code,account_reactivation_date,account_limit_current,upi_vpa_id,upi_linked_account_count,upi_device_binding_count,upi_primary_device_id,last_activity_date,customer_customer_type,customer_customer_segment,customer_customer_risk_rating,customer_customer_status,customer_customer_open_date,customer_customer_last_kyc_update_date,customer_customer_kyc_status,customer_customer_name,customer_customer_gender,customer_customer_date_of_birth,txn_count,txn_transaction_amount_mean,txn_transaction_amount_max,external_signal_count,external_signal_signal_type_nunique,device_signal_count,device_signal_device_id_nunique,device_signal_ip_address_nunique,mule_flag,mule_typology,txn_count_30d,total_credit_30d,total_debit_30d,rapid_outflow_count_30d,inflow_outflow_ratio_30d,round_amount_ratio_30d,cash_txn_ratio_30d,dormancy_break_flag,unique_counterparties_30d,counterparty_link_count,balance_retention_ratio,unique_devices_30d,avg_ip_risk_score,complaint_count_90d,if4_flag,connected_to_flagged_account_count,graph_degree,typology_available_flag,account_open_date_age_days,account_reactivation_date_age_days,last_activity_date_age_days,customer_customer_open_date_age_days,customer_customer_last_kyc_update_date_age_days,customer_customer_date_of_birth_age_days
ACC00000001,CUST0005644,SAVINGS,INR,2016-12-14,ACTIVE,21170.62,17110.09,20427.2,3029.0,0,NONE,missing,34937.7,acc00000001@upibank,2,1,DEV728209,2024-04-03,INDIVIDUAL,RETAIL,MEDIUM,ACTIVE,2014-08-10,2024-11-03,COMPLETE,Hema Karpe,M,1992-01-02,57,37651.70491228071,100000.0,1.0,1.0,4,1,4,0,missing,57,0.0,0.0,57,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,2997,0.0,361,3520,147,5940
ACC00000002,CUST0001225,WALLET,EUR,2016-09-17,ACTIVE,12035.55,12586.98,10840.46,3117.0,0,NONE,missing,38873.02,acc00000002@upibank,4,2,DEV183163,2025-02-04,INDIVIDUAL,HNI,HIGH,ACTIVE,2015-09-01,2024-04-29,COMPLETE,Pushti Grewal,M,1979-08-11,51,38135.547058823526,100000.0,1.0,1.0,3,1,3,0,missing,51,0.0,0.0,51,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,3085,0.0,54,3133,335,10467
ACC00000003,CUST0001125,SALARY,INR,2015-07-09,ACTIVE,17910.64,19671.83,17054.02,3553.0,0,NONE,missing,42357.38,acc00000003@upibank,4,2,DEV407647,2024-06-21,INDIVIDUAL,RETAIL,LOW,ACTIVE,2021-06-02,2023-12-19,PARTIAL,Jasmit Sen,F,1998-02-16,62,47511.75435483871,100000.0,1.0,1.0,5,1,5,0,missing,62,0.0,0.0,62,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,3521,0.0,282,1032,467,3703
ACC00000004,CUST0001058,CURRENT,INR,2016-03-15,ACTIVE,51931.36,54612.34,42949.17,3303.0,0,NONE,missing,56769.54,acc00000004@upibank,4,2,DEV152799,2024-05-14,INDIVIDUAL,RETAIL,MEDIUM,ACTIVE,2013-04-30,2018-05-04,COMPLETE,Zinal Kapadia,M,1962-07-09,48,43162.49479166666,100000.0,1.0,1.0,5,1,5,0,missing,48,0.0,0.0,48,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,3271,0.0,320,3987,2522,16709
ACC00000005,CUST0001851,SAVINGS,INR,2021-02-14,ACTIVE,102071.41,100191.66,94686.17,1506.0,0,NONE,missing,360476.43,acc00000005@upibank,1,2,DEV177040,2025-02-20,BUSINESS,SME,LOW,ACTIVE,2014-01-11,2023-04-23,COMPLETE,Utkarsh Talwar,F,1993-03-14,52,40145.50519230769,100000.0,1.0,1.0,5,1,5,0,missing,52,0.0,0.0,52,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1474,0.0,38,3731,707,5503
ACC00000006,CUST0004840,CURRENT,INR,2016-04-04,FROZEN,43677.34,36006.22,36224.6,3283.0,1,RISK_REVIEW,missing,172802.44,acc00000006@upibank,3,1,DEV133517,2024-12-17,INDIVIDUAL,RETAIL,VERY_HIGH,ACTIVE,2019-12-05,2025-02-24,COMPLETE,Wishi More,M,1988-06-29,52,37121.28403846154,100000.0,1.0,1.0,5,1,5,0,missing,52,0.0,0.0,52,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,3251,0.0,103,1577,34,7222
ACC00000007,CUST0006544,OD,INR,2016-09-18,ACTIVE,24886.18,22009.28,23978.57,3116.0,0,NONE,missing,71755.12,acc00000007@upibank,3,1,DEV526414,2025-01-26,INDIVIDUAL,NRI,MEDIUM,ACTIVE,2016-09-23,2023-02-18,PARTIAL,Chatura Batra,F,1969-04-05,55,42690.274545454544,100000.0,1.0,1.0,6,1,6,0,missing,55,0.0,0.0,55,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,3084,0.0,63,2745,771,14247
ACC00000008,CUST0006850,SAVINGS,INR,2020-02-27,ACTIVE,132934.81,133238.13,93868.2,1859.0,0,NONE,missing,340343.8,acc00000008@upibank,4,2,DEV146775,2024-11-12,INDIVIDUAL,RETAIL,LOW,ACTIVE,2021-09-08,2021-09-15,COMPLETE,Sanaya Nagi,M,1998-09-08,49,39048.94224489796,100000.0,1.0,1.0,7,1,7,0,missing,49,0.0,0.0,49,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1827,0.0,138,934,1292,3499
ACC00000009,CUST0002429,SAVINGS,INR,2022-03-28,ACTIVE,15132.44,13354.08,13323.97,1099.0,0,NONE,missing,35952.11,acc00000009@upibank,4,1,DEV860954,2024-06-15,BUSINESS,SME,LOW,ACTIVE,2012-12-31,2016-05-26,COMPLETE,Chaitaly Sarraf,F,1957-04-07,56,44629.88321428571,100000.0,1.0,1.0,6,1,6,0,missing,56,0.0,0.0,56,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1067,0.0,288,4107,3230,18628
ACC00000010,CUST0004065,SAVINGS,INR,2022-01-24,ACTIVE,75894.78,79686.49,60411.63,1162.0,0,NONE,missing,259755.29,acc00000010@upibank,1,1,DEV185422,2024-05-04,INDIVIDUAL,RETAIL,LOW,ACTIVE,2022-06-25,2023-03-18,COMPLETE,Aishani Kala,F,1983-06-15,57,38787.50771929824,100000.0,1.0,1.0,7,1,7,0,missing,57,0.0,0.0,57,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1130,0.0,330,644,743,9063
